,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
21,COCO,DEIS,LINEAR,NONE,13.311095089279116,597.927293325037,,21.080852508544922,38.900718688964844,33.80192184448242,50
22,COCO,DEIS,SNR,NONE,13.144735775217415,597.927293325037,,21.118831634521484,39.01066589355469,33.79372787475586,50
23,COCO,DEIS,AYS,NONE,12.984023127444088,597.927293325037,,21.00968360900879,38.97460174560547,33.78835678100586,50
24,COCO,DEIS,KARRAS,NONE,12.88997699279338,597.927293325037,,21.155357360839844,38.83521270751953,33.793861389160156,50
25,COCO,DEIS,KARRAS,NONE,1.3325233374536039,59.891715820839,,34.053157806396484,29.534114837646484,32.392555236816406,5
26,COCO,DEIS,SNR,NONE,1.3463895535096526,59.891715820839,,45.28638458251953,25.20429039001465,31.65541648864746,5
27,COCO,DEIS,DDIM,NONE,4.488070420697332,203.367869918086,,21.755937576293945,36.51276397705078,33.58518600463867,17
28,COCO,DEIS,LINEAR,NONE,4.429394360743463,203.367869918086,,20.047895431518555,38.802127838134766,33.78823471069336,17
29,COCO,DEIS,SNR,NONE,2.588303450457752,119.673446640074,,20.38930320739746,37.48971939086914,33.419830322265625,10
30,COCO,DEIS,DDIM,NONE,1.3325624265521765,59.891715820839,,57.902530670166016,20.95852279663086,30.734609603881836,5
31,COCO,DEIS,AYS,NONE,1.8470154771208762,83.804408148533,,20.368541717529297,36.773841857910156,33.12877655029297,7
32,COCO,DEIS,LINEAR,NONE,1.8533748379349708,83.804408148533,,20.762332916259766,36.83940887451172,33.581504821777344,7
33,COCO,DEIS,KARRAS,NONE,1.8547355356439947,83.804408148533,,22.07903480529785,36.06220626831055,33.27214813232422,7
34,COCO,DEIS,SNR,NONE,1.866261705160141,83.804408148533,,23.993568420410156,34.77031326293945,32.92423629760742,7
35,COCO,DEIS,DDIM,NONE,2.605172890461981,119.673446640074,,23.581819534301758,33.44829177856445,33.308895111083984,10
36,COCO,DEIS,KARRAS,NONE,2.61512715511024,119.673446640074,,20.24402618408203,38.25602722167969,33.586551666259766,10
37,COCO,DEIS,DDIM,NONE,1.8624737064167858,83.804408148533,,31.17520523071289,28.153705596923828,32.668800354003906,7
38,COCO,DEIS,AYS,NONE,2.599799887686968,119.673446640074,,19.201894760131836,38.50780487060547,33.52896499633789,10
